vendor_brand,vendor_sku,vendor_cost,vendor_core_cost,Stock,description,map_price
APW,CLS1150,66.62,0.00,8,Ignition Coil,
APW,CLS1151,31.58,0.00,8,Ignition Coil,
APW,CLS1152,36.73,0.00,9,Ignition Coil,
APW,CLS1153,42.83,0.00,11,Ignition Coil,
APW,CLS1154,52.59,0.00,7,Ignition Coil,
APW,CLS1155,55.21,0.00,22,Ignition Coil,
APW,CLS1158,57.62,0.00,11,Ignition Coil,
APW,CLS1159,27.51,0.00,33,Ignition Coil,
APW,CLS1160,124.97,0.00,7,Ignition Coil,
APW,CLS1161,26.58,0.00,11,Ignition Coil,
APW,CLS1162,55.79,0.00,3,Ignition Coil,
APW,CLS1163,40.70,0.00,8,Ignition Coil,
APW,CLS1164,20.91,0.00,6,Ignition Coil,
APW,CLS1165,292.31,0.00,7,Ignition Coil,
APW,CLS1166,39.62,0.00,15,Ignition Coil,
APW,CLS1167,39.32,0.00,9,Ignition Coil,
APW,CLS1168,34.36,0.00,9,Ignition Coil,
APW,CLS1169,42.95,0.00,8,Ignition Coil,
APW,CLS1170,34.19,0.00,9,Ignition Coil,
APW,CLS1171,109.06,0.00,9,Ignition Coil,
APW,CLS1172,80.72,0.00,15,Ignition Coil,
APW,CLS1173,51.74,0.00,23,Ignition Coil,
APW,CLS1174,95.23,0.00,9,Ignition Coil,
APW,CLS1175,71.31,0.00,9,Ignition Coil,
APW,CLS1176,76.85,0.00,8,Ignition Coil,
APW,CLS1177,36.82,0.00,12,Ignition Coil,
APW,CLS1178,333.06,0.00,5,Ignition Coil,
APW,CLS1179,202.20,0.00,4,Ignition Coil,
APW,CLS1180,66.58,0.00,8,Ignition Coil,
APW,CLS1181,67.31,0.00,10,Ignition Coil,
APW,CLS1182,81.14,0.00,5,Ignition Coil,
APW,CLS1183,180.24,0.00,3,Ignition Coil,
APW,CLS1185,65.38,0.00,6,Ignition Coil,
APW,CLS1186,76.81,0.00,10,Ignition Coil,
APW,CLS1187,52.59,0.00,8,Ignition Coil,
APW,CLS1189,55.80,0.00,15,Ignition Coil,
APW,CLS1190,50.68,0.00,18,Ignition Coil,
APW,CLS1193,49.10,0.00,21,Ignition Coil,
APW,CLS1194,49.10,0.00,10,Ignition Coil,
APW,CLS1196,87.45,0.00,12,Ignition Coil,
APW,CLS1197,60.76,0.00,7,Ignition Coil,
APW,CLS1198,49.10,0.00,7,Ignition Coil,
APW,CLS1199,61.90,0.00,19,Ignition Coil,
APW,CLS1200,58.45,0.00,5,Ignition Coil,
APW,CLS1201,68.05,0.00,8,Ignition Coil,
APW,CLS1202,58.45,0.00,9,Ignition Coil,
APW,CLS1203,95.63,0.00,6,Ignition Coil,
APW,CLS1205,66.92,0.00,23,Ignition Coil,
APW,CLS1206,47.34,0.00,10,Ignition Coil,
APW,CLS1207,56.04,0.00,16,Ignition Coil,
